"locID","year","scientificName","avg_bud_burst_DOY","avg_bud_burst_date"
"loc3",1999,"Quercus robur L.",117.092394533571,1999-04-27
"loc3",2000,"Quercus robur L.",121.33598820059,2000-04-30
"loc3",2001,"Quercus robur L.",127.507915057915,2001-05-07
"loc3",2002,"Quercus robur L.",122.824180327869,2002-05-02
"loc3",2003,"Quercus robur L.",117.657370517928,2003-04-27
"loc3",2004,"Quercus robur L.",117.861356932153,2004-04-26
"loc3",2005,"Quercus robur L.",116.759528759529,2005-04-26
"loc3",2006,"Quercus robur L.",122.189451476793,2006-05-02
"loc3",2007,"Quercus robur L.",106.694982078853,2007-04-16
"loc3",2008,"Quercus robur L.",119.816590563166,2008-04-28
"loc3",2009,"Quercus robur L.",109.145259259259,2009-04-19
"loc3",2010,"Quercus robur L.",118.474133811231,2010-04-28
"loc3",2011,"Quercus robur L.",109.855432098765,2011-04-19
"loc3",2012,"Quercus robur L.",113.112915699923,2012-04-22
"loc3",2013,"Quercus robur L.",125.0194092827,2013-05-05
"loc3",2014,"Quercus robur L.",104.541906130268,2014-04-14
"loc3",2015,"Quercus robur L.",123.403314917127,2015-05-03
"loc3",2016,"Quercus robur L.",118.206286186931,2016-04-27
"loc3",2017,"Quercus robur L.",119.636200716846,2017-04-29
"loc3",2018,"Quercus robur L.",108.318498659517,2018-04-18
"loc3",2019,"Quercus robur L.",108.346846846847,2019-04-18
"loc3",2020,"Quercus robur L.",109.134190231362,2020-04-18
"loc3",2021,"Quercus robur L.",128.983790523691,2021-05-08
"loc3",2022,"Quercus robur L.",113.708881578947,2022-04-23
"loc3",2023,"Quercus robur L.",121.023922902494,2023-05-01
"loc2",2022,"Quercus robur L.",109,2022-04-19
"loc2",2023,"Quercus robur L.",118,2023-04-28
"loc4",1994,"Quercus rubra L.",109.357142857143,1994-04-19
"loc4",1995,"Quercus rubra L.",106.066666666667,1995-04-16
"loc4",1996,"Quercus rubra L.",113.734299516908,1996-04-22
"loc4",1997,"Quercus rubra L.",119.8,1997-04-29
"loc4",1998,"Quercus rubra L.",112.098958333333,1998-04-22
"loc4",1999,"Quercus rubra L.",98.2380952380952,1999-04-08
"loc4",2000,"Quercus rubra L.",115.469696969697,2000-04-24
"loc4",2002,"Quercus rubra L.",103.48275862069,2002-04-13
"loc4",2009,"Quercus rubra L.",99.7307692307692,2009-04-09
"loc4",2010,"Quercus rubra L.",99.5957446808511,2010-04-09
"loc4",2011,"Quercus rubra L.",98,2011-04-08
"loc4",1996,"Larix kaempferi (Lamb.) Carrière",110.45,1996-04-19
"loc4",1999,"Larix kaempferi (Lamb.) Carrière",88.2222222222222,1999-03-29
"loc4",2009,"Larix kaempferi (Lamb.) Carrière",97.5757575757576,2009-04-07
"loc4",2010,"Larix kaempferi (Lamb.) Carrière",95.2163120567376,2010-04-05
"loc3",1996,"Pinus sylvestris L.",145.307692307692,1996-05-24
"loc3",2009,"Pinus sylvestris L.",128.930041152263,2009-05-08
"loc3",2010,"Pinus sylvestris L.",134.192307692308,2010-05-14
"loc3",1996,"Larix kaempferi (Lamb.) Carrière",109.257894736842,1996-04-18
"loc3",1999,"Larix kaempferi (Lamb.) Carrière",88.6111111111111,1999-03-29
"loc3",2009,"Larix kaempferi (Lamb.) Carrière",96.927536231884,2009-04-06
"loc3",2010,"Larix kaempferi (Lamb.) Carrière",96.8888888888889,2010-04-06
"loc1",1988,"Betula pendula Roth",119.7,1988-04-28
"loc1",1989,"Betula pendula Roth",105.565,1989-04-15
"loc1",1990,"Betula pendula Roth",94.88,1990-04-04
"loc1",1991,"Betula pendula Roth",98.488888888889,1991-04-08
"loc1",1992,"Betula pendula Roth",107.474305555556,1992-04-16
"loc1",1993,"Betula pendula Roth",111.5,1993-04-21
"loc1",1994,"Betula pendula Roth",107.424242424242,1994-04-17
"loc1",1996,"Betula pendula Roth",112.88125,1996-04-21
"loc1",1999,"Betula pendula Roth",94.5625207296849,1999-04-04
"loc1",2009,"Betula pendula Roth",98.4861111111111,2009-04-08
"loc1",2010,"Betula pendula Roth",97.5954022988506,2010-04-07
"loc2",2009,"Pinus sylvestris L.",126.142857142857,2009-05-06
"loc2",2010,"Pinus sylvestris L.",129.751937984496,2010-05-09
"loc2",1996,"Pinus sylvestris L.",135.666666666667,1996-05-14
"loc2",1999,"Quercus rubra L.",100.333333333333,1999-04-10
"loc4",2009,"Quercus robur L.",106.909663865546,2009-04-16
"loc4",2010,"Quercus robur L.",115.65523465704,2010-04-25
"loc4",2011,"Quercus robur L.",108.224803921569,2011-04-18
"loc4",2012,"Quercus robur L.",111.781893004115,2012-04-20
"loc4",2013,"Quercus robur L.",123.801092896175,2013-05-03
"loc4",2014,"Quercus robur L.",101.936755952381,2014-04-11
"loc4",2015,"Quercus robur L.",119.615006150061,2015-04-29
"loc4",2016,"Quercus robur L.",115.046641791045,2016-04-24
"loc4",2017,"Quercus robur L.",119.397388059701,2017-04-29
"loc4",2018,"Quercus robur L.",107.715815085158,2018-04-17
"loc4",2019,"Quercus robur L.",108.197916666667,2019-04-18
"loc4",2020,"Quercus robur L.",106.222466960352,2020-04-15
"loc4",2021,"Quercus robur L.",127.957407407407,2021-05-07
